,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
73,90095,90095,3,0,0,0,-,-,0,0,0,0,0,0,0,0
74,90201,90201,101279,8402,24464,24464,44046,53867,51445,50520,80974,1252,363,600,112,101965
75,90210,90210,21741,5322,7936,7936,147270,285632,9380,9934,16672,229,26,1383,0,19314
76,90211,90211,8434,1351,3661,3661,86437,162837,3678,4341,6184,360,0,924,0,8019
77,90212,90212,11555,2390,5887,5887,95080,159462,6488,6826,10792,193,45,1327,0,13314
78,90220,90220,49328,5354,13206,13206,57074,66755,24735,28082,17271,17625,237,433,206,52817
79,90221,90221,53704,4610,12144,12144,51377,62433,26313,25375,19540,10961,146,457,102,51688
80,90222,90222,31869,2818,7979,7979,49894,61055,16443,16757,13334,7858,271,404,20,33200
81,90230,90230,31766,5330,13327,13327,85524,117862,15431,17256,19610,3316,61,5158,43,32687
82,90232,90232,15149,2144,6598,6598,90467,127786,7054,7726,9612,742,29,2609,0,14780
83,90240,90240,25876,3457,7544,7544,86383,111587,13052,13361,17757,365,222,1809,0,26413
84,90241,90241,42399,5499,13176,13176,72715,87522,21649,21566,27049,1043,156,3221,61,43215
85,90242,90242,43497,4515,12325,12325,71233,85792,20075,22619,23854,2392,197,2706,113,42694
86,90245,90245,16654,1757,6417,6417,109577,142202,8258,8473,12005,626,37,1701,9,16731
87,90247,90247,47487,6805,16001,16001,55561,71599,23667,24626,12456,8757,347,11638,18,48293
88,90248,90248,9947,2182,3777,3777,61448,85237,5560,6047,3632,1702,24,3191,47,11607
89,90249,90249,26669,4528,8826,8826,60669,79065,12847,13582,7600,6816,609,4121,688,26429
90,90250,90250,93193,8824,31905,31905,56304,75465,47533,49539,36489,22280,621,7520,631,97072
91,90254,90254,19506,2414,8956,8956,136702,206475,10501,9038,16526,192,120,1013,0,19539
92,90255,90255,75066,7276,18577,18577,44962,58611,37443,37576,51301,702,422,325,120,75019
93,90260,90260,34924,3874,10532,10532,65340,79633,17793,17034,15359,3302,57,4484,395,34827
94,90262,90262,69745,5311,15374,15374,52313,66975,34414,36122,41847,5631,485,570,95,70536
95,90263,90263,1612,0,0,0,-,-,770,1068,1078,110,0,416,9,1838
96,90265,90265,18116,4260,7391,7391,152378,263656,8949,9005,15887,271,65,691,27,17954
97,90266,90266,35135,6010,13427,13427,153023,251717,17155,18345,27766,191,79,4787,34,35500
98,90270,90270,27372,2288,6684,6684,44124,58118,13520,13767,20117,241,47,73,0,27287
99,90272,90272,22986,5149,8724,8724,192500,325745,10423,11206,18972,86,20,1251,6,21629
100,90274,90274,25209,6638,9153,9153,169919,256513,12189,12872,17259,259,8,6088,0,25061
101,90275,90275,41804,10760,15544,15544,138293,181323,20214,21932,23651,785,103,13179,367,42146
102,90277,90277,35293,5801,15844,15844,106185,146954,17080,17747,26165,1049,152,3759,1,34827
103,90278,90278,40071,4868,15312,15312,116783,151310,20545,19707,27440,1496,161,6172,62,40252
104,90280,90280,94396,9446,24071,24071,52321,65785,46826,47816,59504,646,571,520,183,94642
105,90290,90290,6368,1051,2275,2275,129772,170907,2783,2898,5037,127,0,358,0,5681
106,90291,90291,28341,3570,13692,13692,99652,156736,13856,13094,22114,1525,185,963,0,26950
107,90292,90292,21576,3572,12606,12606,114726,156006,12260,11289,17588,1782,0,2475,56,23549
108,90293,90293,12132,2081,6604,6604,105865,148294,6276,6452,8845,846,114,1678,0,12728
109,90301,90301,36568,4594,12046,12046,47464,62868,19135,19099,12012,11777,780,848,460,38234
110,90302,90302,29415,3030,10636,10636,51850,66681,13994,16023,8618,12833,178,690,10,30017
111,90303,90303,26176,2860,7048,7048,55897,72008,12045,12329,7695,8028,214,358,0,24374
112,90304,90304,28210,1671,6583,6583,49120,62376,13147,12799,12405,1007,195,889,346,25946
113,90305,90305,14853,2811,5814,5814,80165,96471,7073,7969,1174,12199,0,188,65,15042
114,90401,90401,6722,1333,4603,4603,82681,115568,3841,3270,5391,700,24,499,14,7111
115,90402,90402,12250,2992,4999,4999,154583,315026,5730,6152,10113,101,0,1067,0,11882
116,90403,90403,24525,4694,12739,12739,107420,149023,11394,12508,19137,613,20,2353,30,23902
117,90404,90404,21360,3308,9957,9957,78542,115409,11490,11439,15015,1707,80,3254,29,22929
118,90405,90405,27186,4507,13943,13943,95674,136893,14366,13790,21980,990,160,2193,28,28156
119,90501,90501,43180,5348,14242,14242,71712,90910,20663,21312,15008,2365,176,10523,135,41975
120,90502,90502,18010,3879,5975,5975,73826,98010,8974,8804,5688,1036,24,6705,25,17778
121,90503,90503,44383,7451,16647,16647,93063,117167,21583,23022,20194,1289,100,18479,375,44605
122,90504,90504,32102,5498,11685,11685,90210,109503,16144,17266,13198,1149,452,12565,140,33410
123,90505,90505,36678,6439,13992,13992,99764,126777,18080,19140,18610,855,288,13666,72,37220
124,90506,90506,0,0,0,0,-,-,0,0,0,0,0,0,0,0
125,90601,90601,31974,5179,10981,10981,76732,92842,15226,16827,16338,342,403,2326,0,32053
126,90602,90602,25777,2902,7643,7643,55216,76053,12726,12855,10728,527,118,1075,27,25581
127,90603,90603,20063,3529,6661,6661,103535,114683,10921,10663,14083,207,153,1417,0,21584
128,90604,90604,39407,5454,12432,12432,74944,88568,20818,22093,20898,455,317,2656,48,42911
129,90605,90605,40331,4944,10382,10382,78297,96664,20087,20105,18027,292,566,1907,177,40192
130,90606,90606,32396,4359,8996,8996,74986,87102,16743,16244,13374,286,415,682,99,32987
131,90620,90620,45113,7108,13142,13142,91512,108143,22218,24196,25020,1083,496,14542,512,46414
132,90621,90621,35153,3648,10366,10366,67650,83953,18329,17269,14536,1293,177,12116,323,35598
