,Zip Code,Geographic Area Name,Total,Population over 65,Occupied housing units,Total,Median income (dollars),Mean income (dollars),Male population,Female population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,HISPANIC OR LATINO
307,91789,91789,43079,8650,13348,13348,101841,125549,21260,23180,9954,1516,255,27162,121,44440
308,91790,91790,44907,6492,12254,12254,82128,98317,22166,23278,18007,1279,465,10230,359,45444
309,91791,91791,32414,5839,10080,10080,84530,102623,16326,17071,12565,1292,179,9010,9,33397
310,91792,91792,30854,4426,8585,8585,82954,93202,13980,15639,7386,1967,83,12530,77,29619
311,91801,91801,52735,9609,20065,20065,60519,85655,26117,28651,11682,1392,308,28739,209,54768
312,91803,91803,30322,5526,9644,9644,63264,85770,14867,14700,7678,502,92,14283,10,29567
468,92301,92301,32725,2050,7956,7956,44574,57223,18407,15843,21570,6383,155,602,66,34250
510,92372,92372,6220,1168,2077,2077,54493,83671,2845,3226,5382,0,0,345,41,6071
525,92397,92397,4894,1003,1792,1792,68640,92411,2353,2209,4211,12,22,25,6,4562
592,92647,92647,57245,8497,21452,21452,87237,107414,31540,30659,37992,1427,580,7591,410,62199
593,92648,92648,45317,7990,19540,19540,95857,136946,23700,22528,35334,365,135,5478,205,46228
594,92649,92649,32463,6783,14339,14339,100341,131623,17768,17510,26424,335,156,4368,56,35278
611,92683,92683,89747,15672,27634,27634,62617,89346,44436,46669,33510,1337,391,44081,315,91105
625,92801,92801,62068,6837,17921,17921,63046,78261,32421,34173,41152,3009,454,11041,218,66594
628,92805,92805,70401,5442,19611,19611,66253,80892,36677,37801,54818,874,231,7901,138,74478
632,92821,92821,35533,5436,13750,13750,91531,112103,17982,19730,26493,709,353,7191,80,37712
633,92823,92823,3613,534,1458,1458,151071,169709,2384,2488,2236,61,0,2133,0,4872
634,92831,92831,34204,3641,12438,12438,70725,95826,19146,18213,25356,1013,92,6497,66,37359
635,92832,92832,24752,2897,8322,8322,65455,84388,12924,12913,16028,1204,142,2460,130,25837
636,92833,92833,51767,6951,16310,16310,82465,103997,26179,26256,24661,911,269,19095,166,52435
637,92835,92835,24010,4944,8513,8513,113345,148589,11127,12401,15046,346,23,5759,28,23528
656,92886,92886,46564,9152,16816,16816,125359,156371,24421,26363,37467,486,94,9816,53,50784
708,93225,93225,5077,976,1942,1942,45818,57141,2325,2457,4456,0,51,54,0,4782
718,93243,93243,1699,216,676,676,44219,50402,771,761,1089,0,195,163,0,1532
800,93510,93510,7993,1195,2608,2608,105714,128322,3960,3684,6689,83,12,244,0,7644
809,93523,93523,3074,183,1161,1161,62760,78613,1870,1686,2738,187,0,159,9,3556
817,93532,93532,2932,402,976,976,64969,89457,1511,1172,2143,56,41,89,0,2683
818,93534,93534,39341,5061,14161,14161,41537,51358,18355,21012,22616,9822,235,1501,52,39367
819,93535,93535,72046,6809,21334,21334,46600,57883,36797,37467,48563,14874,323,2542,15,74264
820,93536,93536,70918,8187,21427,21427,79990,96244,37373,32864,46489,10408,763,3909,93,70237
822,93543,93543,13033,1942,3698,3698,51719,69707,7222,7170,8216,640,185,213,0,14392
823,93544,93544,1259,394,554,554,43913,65881,699,465,917,150,0,0,0,1164
827,93550,93550,74929,6590,21548,21548,45918,58411,37463,40043,31294,10835,1719,2013,409,77506
828,93551,93551,50798,6495,15771,15771,93055,110689,24633,25968,29782,5351,469,4443,178,50601
829,93552,93552,38158,3408,9806,9806,65728,77710,20487,19418,18265,4844,446,1469,42,39905
830,93553,93553,2138,455,670,670,51630,73218,801,908,1004,18,0,12,0,1709
834,93560,93560,18910,1964,7148,7148,60743,77274,11194,10562,15051,1828,264,309,22,21756
837,93563,93563,388,99,96,96,-,148578,233,124,281,38,6,10,0,357
838,93591,93591,7285,652,1948,1948,47453,57337,2978,3766,4017,544,14,51,0,6744
